id,journal_id,paper_name,author_name,published_date
1,Vol. 23 No. 1 (2023),On the revision of detecting learning-by-exporting: empirical evidence from small- and medium-sized enterprises in Vietnam,"Nguyen Ba Nhu Ngoc,Dao Ngoc Tien,Nguyen Quynh Huong",30/03/2023
2,Vol. 23 No. 1 (2023),An evaluation of financial performance of Vietnam textile and apparel industry using the entropy-TOPSIS method,"Pham Thi Hong Yen,Wang Tien-Chin ,Nguyen Thi Hien Hoa,Nguyen Thi Ngoc Anh",30/03/2023
3,Vol. 23 No. 1 (2023),Spillover effects of transportation capital and provincial competitiveness on economic growth in Vietnam,Le Thi Quynh Nhung,30/03/2023
4,Vol. 23 No. 1 (2023),State ownership and corporate investment: evidence from Vietnamese stock market,"Quoc Trung Tran,Xuan Minh Nguyen,Tuan Duong Nguyen,Thi Trung Nguyen,Thi Huong Dao,Quang Tam Nguyen",30/03/2023
5,Vol. 23 No. 1 (2023),Factors affecting the level of customer deposit: the case of commercial banks in Vietnam,"Le Hoang Vinh,Pham Le Quang,Bui Anh Thanh,Nguyen Duy Phuong",30/03/2023
6,Vol. 23 No. 1 (2023),Corporate social responsibility and financial performance in the banking industry: a comparative study of Australia and Vietnam,"Nguyen Van Ha,Vu Thi Diem Phuc,Pham Huong Giang,Phan Thi Huong Giang,Le Gia Khanh",30/03/2023
7,Vol. 23 No. 1 (2023),The impact of personality traits on positivity at work and job performance of officers - An empirical investigation at the district-level administrative agencies in Hanoi,"Nguyen Danh Nam,Uong Thi Ngoc Lan",30/03/2023
8,Vol. 23 No. 1 (2023),Factors influencing the decision to outsource logistics services of small- and medium-sized enterprises in Vietnam,"Bui Duy Linh,Nguyen Thi Dieu Hoa",30/03/2023
9,Vol. 22 No. 3 (2022),Foreign bank penetration in Vietnam following Vietnam’s  accession to the WTO: matching expectations with reality,"Pham  Thu Huong,Vo  Xuan Vinh,Nguyen  Thi Hien,Bui  Thi Ly,Nguyen  Ngoc Toan",30/11/2022
10,Vol. 22 No. 3 (2022),Does proximity matter? The effect of financial sector development on economic growth in the EAC and SADC regional blocs,"Samwel Sanga Alananga,Felicican Mutasa",30/11/2022
11,Vol. 22 No. 3 (2022),Extended environmental Kuznets curve in Asia-Pacific countries: an empirical analysis,"Nguyen Binh Duong,Everett E. Mayers,Nguyen Duc Nhan,Dau Thu Huong,Hoang Thi Thuy Duong",30/11/2022
12,Vol. 22 No. 3 (2022),Firm innovation strategies and integration into the global value chains: how does the local business environment matter?," Le Thi Ngoc Bich,Hoang Bao Tram,Doan  Quang Hung,Fillipo  Marchesani,Bui  Quang Tuan",30/11/2022
13,Vol. 22 No. 3 (2022),Factors affecting organizational commitment: research at the Joint-stock Commercial Bank for  Investment and Development of Vietnam (BIDV),"Nguyen Hong Quan,Nguyen Thi Anh Tho",30/11/2022
14,Vol. 22 No. 3 (2022),Interdependence of stock markets: evidence from Vietnam,"Tran Thi Van Anh,Dao Hoang Tuan,Nguyen Thi Nhung",30/11/2022
15,Vol. 22 No. 2 (2022),"Liquidity risk, macroprudential regulation and bank performance: empirical evidence from Vietnamese commercial banks","Nguyen Tri Minh,Tran Ngoc Tho,Nguyen Huu Tuan",31/07/2022
